chan_1ev__1,chan_1ev__2,chan_1ev__3,chan_1ev__4,chan_1ev__5,chan_2ev__1,chan_2ev__2,chan_2ev__3,chan_2ev__4,chan_2ev__5,chan_3ev__1,chan_3ev__2,chan_3ev__3,chan_3ev__4,chan_3ev__5,chan_4ev__1,chan_4ev__2,chan_4ev__3,chan_4ev__4,chan_4ev__5,chan_5ev__1,chan_5ev__2,chan_5ev__3,chan_5ev__4,chan_5ev__5,chan_6ev__1,chan_6ev__2,chan_6ev__3,chan_6ev__4,chan_6ev__5,chan_7ev__1,chan_7ev__2,chan_7ev__3,chan_7ev__4,chan_7ev__5,chan_8ev__1,chan_8ev__2,chan_8ev__3,chan_8ev__4,chan_8ev__5,chan_9ev__1,chan_9ev__2,chan_9ev__3,chan_9ev__4,chan_9ev__5,chan_10ev__1,chan_10ev__2,chan_10ev__3,chan_10ev__4,chan_10ev__5,chan_11ev__1,chan_11ev__2,chan_11ev__3,chan_11ev__4,chan_11ev__5,chan_12ev__1,chan_12ev__2,chan_12ev__3,chan_12ev__4,chan_12ev__5
6.08917469347162,2.86281562398865,12.9944219010213,-4.58857846652247,-2.96669911013663,-5.4010514035681,-7.15679520379507,-9.53262297694504,4.90518931270389,-5.61602374797898,4.56527492649724,6.39232339984088,-15.0782844639434,10.4977820124222,21.7192325054192,-11.1570229463895,-2.67637707091521,-1.99470284635626,13.8180396454413,10.9052013416863,0.611677282248113,-2.70961771618399,-4.46752710289962,-1.82532410767715,-5.01400937007365,-2.68800487898739,-3.53713413731743,5.93337844208903,6.22995784664577,13.3601983151478,1.64364316278252,4.25692443886131,-5.50101294549464,-0.70754468298341,-3.29723760151568,-2.35023494163379,-3.68332697770175,-7.51617725194426,0.196429749456201,-1.05339449528413,-1.83977651009536,-1.55834739039818,-21.8994707485621,-0.659237212959103,21.5693943380493,8.76259703727378,7.09835064556695,-1.50190392839014,-1.12518120184617,2.19797398682444,1.77334528636232,5.45546432360117,9.22758142982351,1.81074721220672,-1.42333218899647,2.95757958745325,10.4462340966088,2.63889510033359,3.56371549304101,-2.18778882063964
5.45047247416234,1.78929702662956,13.0413839107037,-3.2913897484741,-1.35949221368128,-4.62651159847394,-6.33780095572395,-9.30595903082732,4.86162239366693,-6.55925261015423,3.69338231035402,6.28498633286618,-15.3988566175404,9.25198150468277,21.4605975982447,-10.9603144300709,-2.26056168552936,-1.24034107625347,13.0393938864068,10.6252599209063,0.272778467455274,-2.60413466809472,-4.62535010944132,-1.5751637510823,-4.78519963940661,-3.18154684908426,-4.15005426982351,5.54862239923211,5.88817696107093,13.032760070667,1.56449849426884,4.30020355845299,-5.35384456913887,-0.881726881293707,-3.23553240713579,-2.53319878031161,-3.69091054429418,-7.9170433902755,-0.0133919667385944,-1.27261264351463,-1.91182338642582,-0.875268252715955,-21.809544634584,-1.39223797959008,21.4605007445472,8.37919229803106,6.92968111803694,-1.44803882826466,-1.31655369892492,1.89253204692443,1.95923807990278,5.27676768344119,9.14562840808331,1.92205632461755,-1.52702132965397,3.2191593216389,10.4233438094786,3.0585060416085,4.01967687793875,-1.83218671140635
4.78032107096313,0.709299520396598,13.0418085741654,-1.96798680579258,0.247256904414342,-3.83515867118576,-5.4977100192352,-9.0452395999369,4.7880519215836,-7.47854040454074,2.82339797062267,6.17279595084441,-15.6743403788153,7.97522403240503,21.1382039417039,-10.7180951047275,-1.83015335014581,-0.470809735882274,12.217719616786,10.3133368498451,-0.0592096516558693,-2.48615182217783,-4.76865792669799,-1.31660953824996,-4.54132983537639,-3.66807613722582,-4.74775450398816,5.14478105986844,5.5224846639094,12.649902393397,1.48069902372944,4.33289200100493,-5.18708097518901,-1.04933048648399,-3.15188316806662,-2.70431332355784,-3.680064359072,-8.2884962695522,-0.224255841646061,-1.48236588891164,-1.95933418249974,-0.173051682252979,-21.6442605268881,-2.11964645859046,21.2807498179763,7.96543833070698,6.74154776220646,-1.39512982427627,-1.50718694501037,1.57833099098555,2.12918100308655,5.06804743977698,9.03237193782936,2.02460695758098,-1.62661150005256,3.46046845423098,10.358806475381,3.46485043096155,4.4616761979795,-1.47266560035268
4.08156711451238,-0.373236575074341,12.9958673716482,-0.623834489422935,1.84696348448517,-3.02977546265442,-4.64001590648795,-8.75139152115979,4.68539705419176,-8.36963282779403,1.95827224298691,6.05720682959555,-15.9031033617128,6.67194535078567,20.752880133238,-10.4314782984824,-1.387730873944,0.310377206782751,11.3562307482712,9.97075051800178,-0.382846910571405,-2.35597304623025,-4.89681361931579,-1.05054465382773,-4.28331117894846,-4.14545557256712,-5.32788887757374,4.72311940235473,5.13374105634324,12.21275451898,1.392391714446,4.35508520429562,-5.00099658293776,-1.20940921560914,-3.04644146776896,-2.86280385318038,-3.65047908501091,-8.62879775162088,-0.435193075017817,-1.68164526811861,-1.98229259178082,0.546070091691882,-21.4039417729025,-2.83979696064636,21.0304570207839,7.52298414965951,6.5348658312766,-1.34351781725799,-1.69636740207248,1.25605299119962,2.2822589343856,4.83024132202427,8.88823218304013,2.1181521487314,-1.72163091814378,3.68009045010315,10.2530798892092,3.85687183277774,4.88824688593052,-1.11050099682537
3.35720854133867,-1.45436488201177,12.9039150622461,0.735464188432677,3.43309218464659,-2.21320178249083,-3.76826737945227,-8.42546147743348,4.55474670906445,-9.22838669859134,1.10088813653096,5.93961946840543,-16.0836615784281,5.34666088855233,20.3056315890584,-10.1017767096454,-0.935950688821702,1.09961539109172,10.4582728597309,9.5989057400567,-0.696757142629826,-2.21395896208892,-5.00922961873165,-0.777891167032251,-4.01209445877003,-4.61156517282804,-5.88818367592355,4.28496459117594,4.72290005965022,11.7226821665031,1.29973906945275,4.36689944165088,-4.79593666476771,-1.36105920321969,-2.91948371692571,-3.00795064406787,-3.60193419227092,-8.93632671527154,-0.645228705921649,-1.86950098182636,-1.98083880979873,1.27973977740389,-21.0891921731215,-3.55105813049568,20.710174836199,7.05358710192039,6.31059947356086,-1.29351658441371,-1.88337826469662,0.926419113927292,2.4176581268678,4.56443945432166,8.71374032672746,2.20248770401906,-1.81162028394755,3.87672875878427,10.1067945881327,4.23357813596373,5.29797970090026,-0.746970629223291
2.610381348871,-2.53014799106579,12.7664870915308,2.1041924654818,4.99918497374684,-1.38832438044261,-2.88605340091929,-8.06861221507965,4.39735256724889,-10.0507890395004,0.254051385502511,5.82137110240371,-16.2146873997119,4.00394875659133,19.7976377827834,-9.73049676118731,-0.477532153565754,1.89322699395479,9.52730946847975,9.19928796449573,-0.99963417989441,-2.06052596545385,-5.10537028816787,-0.499606559087117,-3.72866620384336,-5.06431182564054,-6.42644648155726,3.83170168438808,4.29100813680235,11.1812832688801,1.20291901090021,4.36847032887073,-4.57231757576747,-1.5034241665714,-2.77141079387081,-3.13909241278604,-3.53430026816505,-9.209586702255,-0.853386337282507,-2.04504699846852,-1.95526838833728,2.02548286441509,-20.7008945327671,-4.25183554724286,20.3206916033755,6.55910522068479,6.06975765865346,-1.24541035529239,-2.06750231425818,0.590188672018764,2.53467064185483,4.27187896973464,8.50953645121846,2.2774525237812,-1.89613481683348,4.04921377596997,9.92074984032479,4.5940430794845,5.68952750945842,-0.383349571356769
1.84434564803807,-3.59667243224947,12.584296205248,3.47654493978477,6.53888861972353,-0.558066696770662,-1.99698799413374,-7.6821183541915,4.21462115160054,-10.8329756078289,-0.57951905030015,5.70372702711813,-16.295016949523,2.64843263157044,19.2302490691491,-9.31933202790074,-0.0152424516332284,2.68747815275762,8.56690792556388,8.77345729649358,-1.29024744190808,-1.89614498807466,-5.18475430933677,-0.21668006732059,-3.43404479309592,-5.50163892673795,-6.94057485784652,3.3647691370773,3.83920263383989,10.5903826669277,1.10212469126414,4.35995132413086,-4.33062672608961,-1.63570032670282,-2.60274701563374,-3.255629521242,-3.44754090614277,-9.4472130949503,-1.05869289717623,-2.20746532571188,-1.90603025138128,2.78071617532763,-20.2402080712689,-4.94057413811444,19.8630295572878,6.04148918946124,5.81339001500564,-1.19945158293869,-2.24802477402048,0.248158383541989,2.63269819922608,3.95393788028635,8.27636700240424,2.34292871795764,-1.97474625252942,4.19650912918977,9.69590889394524,4.93740747226186,6.06160982200966,-0.0209053973854781
1.06247107777279,-4.65006353130415,12.3582282896607,4.84665326480782,8.04598165177794,0.274621572482069,-1.1046950768742,-7.26736180775929,4.00810502469843,-11.5712487900162,-1.39720000424057,5.58787248419594,-16.3236568954174,1.28476458443387,18.6049831019466,-8.87015576331502,0.44811883639613,3.47859679669982,7.58072499565177,8.32304235938136,-1.56744708803965,-1.72134000621414,-5.24695688053231,0.0698711386343828,-3.12927651869802,-5.92153592917005,-7.42856463196002,2.8856541156633,3.36870973619056,9.95202578499413,0.997564235594677,4.34151223180889,-4.0714222889239,-1.75714105730171,-2.41413844070118,-3.35702691949875,-3.34171416036425,-9.64797979149087,-1.26018341294324,-2.35600992896628,-1.83372388372798,3.5427570958886,-19.7085646971501,-5.6157604095572,19.3384420790704,5.50277395448461,5.54258259440885,-1.1558589266937,-2.42423615298047,-0.0988386696221924,2.71125542313517,3.61212823459602,8.01508184869618,2.39884151179565,-2.04704479149228,4.31771725476316,9.4333935151631,5.26288011444661,6.41301706903264,0.339106614803546
0.268221648914282,-5.68650009307757,12.0893374628645,6.20861231096793,9.51440067738438,1.10677505831101,-0.212793335526293,-6.82582682648925,3.77949315617728,-12.2620947770013,-2.19647261069003,5.47490515390842,-16.2997905986404,-0.0823920767722039,17.9235208557714,-8.38501255796124,0.909735402526675,4.26279079972596,6.5724921829775,7.84973401909968,-1.83016871150492,-1.53668630048073,-5.29161171648091,0.359005932207576,-2.81543161974624,-6.32204775789209,-7.88851774419189,2.39588763853965,2.88084203671917,9.26847131064678,0.889460414382071,4.3133377209289,-3.79533263788108,-1.86706123462424,-2.20635050810313,-3.44281681288807,-3.21697355442304,-9.81080534601142,-1.45690577397565,-2.49001027793591,-1.73909570732832,4.30883344958364,-19.1076641610283,-6.27592450051755,18.748410165109,4.94507002434484,5.2584535787819,-1.11481546197461,-2.59543506652674,-0.449934288792228,2.76997246515626,3.24808859845961,7.72663094709747,2.44515894443622,-2.1126409904097,4.41208423692954,9.13447784724542,5.56973842849791,6.7426146028774,0.695448212121295
-0.534859912150412,-6.70222885428533,11.7788404450202,7.55650667266185,10.9382659382978,1.93542341174176,0.675118795880365,-6.35909468747615,3.5306005139861,-12.9021999412465,-2.97493027444536,5.36582829643307,-16.2227835906492,-1.44837988100989,17.1877022615816,-7.86610916498976,1.36679003837659,5.03626636607811,5.54600086536588,7.35527899601471,-2.07743755561392,-1.34280847328068,-5.31841284106058,0.649663339685104,-2.49360030262241,-6.70128404446519,-8.31864963284177,1.89703955915859,2.3769957139772,8.54218290548927,0.778050247002731,4.2756258685933,-3.50305550856486,-1.96484126322619,-1.98026502093038,-3.51260103971045,-3.07356863482565,-9.93475854368508,-1.64792545894209,-2.60887450412257,-1.62303466450147,5.07609397931608,-18.4394681045102,-6.9196420636061,18.0946381257669,4.37055449693936,4.96214894451124,-1.07646713111142,-2.76093102226904,-0.804226615441041,2.80859699022862,2.86357589707275,7.41206063041007,2.48189136380232,-2.1711675887666,4.47900388394095,8.8005816257944,5.85732880982998,7.04934641194065,1.04690280734094
-1.34316824725185,-7.69357864903762,11.428110238904,8.88443739746244,12.3119059933966,2.75760206830982,1.55547798756389,-5.86883804602461,3.26335693845604,-13.4884663397166,-3.73028607664526,5.26154458006003,-16.0921883457317,-2.80856411758397,16.3995214664478,-7.31580453339887,1.81648053348086,5.79524655780373,4.50508729867522,6.84147338835635,-2.30837223534358,-1.14037823127427,-5.32711616477252,0.940766766558909,-2.16488876395513,-7.05742813722053,-8.71729612599018,1.39071340822976,1.85864732086694,7.77581997864486,0.663584536100718,4.22858673838162,-3.1953568801491,-2.04993075390549,-1.73687648586429,-3.56605314702382,-2.9118450619469,-10.0190633823783,-1.83233020325093,-2.71209215416339,-1.48656703114573,5.84161939518066,-17.7061930277643,-7.54553598063958,17.3790485271668,3.78146185481451,4.65483809940289,-1.0409214479684,-2.92004715974439,-1.16078180122603,2.82699551420071,2.46045666075765,7.07250953114732,2.50909072221502,-2.22228126260683,4.51802101994248,8.43326278806606,6.1250667080076,7.33223853520744,1.39228001371383
-2.15305180259831,-8.65697423175027,11.0386691554584,10.1865488124489,13.6298814203809,3.57036304471724,2.42477063384927,-5.35681497097665,2.97979536210744,-14.0180262710747,-4.46037959467248,5.16285063041481,-15.9077483224869,-4.15834954230232,15.5611217282463,-6.73659909321918,2.25603555806604,6.53598987231411,3.4536175540249,6.31015613132586,-2.52218794995002,-0.93011194132376,-5.31754083965981,1.23122832191816,-1.83041523166015,-7.38874584307623,-9.08291981379749,0.878541112210662,1.32735018573327,6.97222755877978,0.546327333652373,4.17244100324317,-2.87306957387022,-2.12185183203125,-1.47728782373146,-3.60292015330165,-2.73224423334053,-10.0631034350488,-2.00923458271561,-2.79923652592874,-1.33085048692871,6.60243394394669,-16.9103022034692,-8.15227791976044,16.6037763919356,3.18007457071701,4.3377095070734,-1.00824646763441,-3.0721229330994,-1.51863589296303,2.82515408527188,2.04069771899692,6.70920415920367,2.52684967814021,-2.26566429784658,4.52883397561009,8.03420951693801,6.37243645058555,7.59040216635175,1.73042005461285
-2.9608295405201,-9.58894970351575,10.6121812221176,11.4570553215251,14.8870074330173,4.37078572787086,3.27954717945666,-4.82486268488897,2.68203944182495,-14.4882558196502,-5.16318311615206,5.07043233055144,-15.6694012501715,-5.49319680165923,14.6747899564059,-6.1311233408922,2.68273044321137,7.25480877731457,2.3954724499338,5.76320241562052,-2.71819917500232,-0.712767969487808,-5.28957038520962,1.51995322181416,-1.49130603901918,-7.69359385825151,-9.41411587733802,0.362177605718768,0.784730429739104,6.13442530473637,0.426555339853366,4.10741862189769,-2.53709156648757,-2.180202056339,-1.2027054694659,-3.62302398808119,-2.53530243648549,-10.066425569444,-2.17778448967444,-2.86996657641182,-1.15716747316255,7.35551745265395,-16.0544965696316,-8.73858974195978,15.7711626772487,2.56871356572836,4.01196631333873,-0.97847003093803,-3.21651672628738,-1.87679693310006,2.80317830517113,1.60635639028467,6.32345415173889,2.53530051041131,-2.30102617575321,4.51129626474953,7.60523176249957,6.59899082268568,7.82303643782425,2.06019803022383
-3.76280784855971,-10.4861614896806,10.1504440145558,12.69026804708,16.0783753157614,5.15598761616947,4.11643609237073,-4.27489103131053,2.37229067335945,-14.8967873233385,-5.83680722982999,4.9848608973715,-15.3772816392939,-6.80863851210548,13.7429509101599,-5.50212577676142,3.09390277149809,7.94808811012521,1.33453254098562,5.20251708873747,-2.89582182492701,-0.489143813643947,-5.24315357964688,1.80584425206794,-1.14869174618086,-7.97042784639264,-9.70961735245137,-0.156704644110327,0.232482606259484,5.26559569887692,0.304557236355426,4.03375757718914,-2.18838401795204,-2.2246569302933,-0.914433883153417,-3.62626260011851,-2.32164953027915,-10.0287430042118,-2.33716147823202,-2.92402839259803,-0.966917872637603,8.09781779571405,-15.141704638419,-9.30324476536793,14.8837470508732,1.94972856270291,3.67882198885567,-0.951579291937528,-3.35260839079787,-2.23424727489022,2.76129268947899,1.15957021776439,5.91664721505755,2.53461385217933,-2.32810506348925,4.46541743835832,7.14825228640387,6.80435041628667,8.02943087661689,2.38052802393188
-4.55529756661765,-11.3454008182537,9.65537995516341,13.8806211894573,17.1993725831687,5.9231349727217,4.93215742539217,-3.70887569223798,2.05281506105743,-15.2415207074788,-6.47950577883149,4.90658975528959,-15.0317224993167,-8.10029493359619,12.7681610660956,-4.85246025004081,3.4869676919085,8.61230324858287,0.274663223863238,4.63002806195334,-3.05457487988525,-0.260073041301003,-5.17830511192228,2.08780627062244,-0.803703322835422,-8.21781012410286,-9.96829980963885,-0.676421182959005,-0.327635030065573,4.36907147108799,0.180632955762245,3.95170268421481,-1.82796901375158,-2.25497199024851,-0.613869497028062,-3.61261072701179,-2.09200715683983,-9.94993768320353,-2.48658695582762,-2.96125621869891,-0.761611049082891,8.82626373211842,-14.175071462644,-9.84506889612889,13.9442599882037,1.32548837787292,3.33949600193472,-0.927520534861645,-3.47980169645231,-2.58994611007281,2.699839370072,0.702546302823876,5.49024377950072,2.52499725270337,-2.34666920293624,4.39136311199394,6.66529727603867,6.98820276396118,8.20896752467559,2.69036703175393
