,loc1x,loc1y,block,angle,loc3x,loc3y,loc2x,loc2y,loc1-loc2dist,loc1-loc3dist,loc2-loc3dist,picid,contextid,cond,study order,refresh order,recog order,same/diff,same/diff rt,recog button,recog loc,recog rt
35,1617,516,3,60,1259,244,1202,690,450.0011,450.0011,450.0011,46,8,1,36,34,48,2,0.8106051999999999,3,1,0.9067098
36,631,618,3,-60,858,482,862,747,264.5789,264.5789,264.5789,90,8,1,37,42,36,2,0.3601954,1,1,0.44796549999999996
37,560,415,3,60,904,747,1020,283,478.5645,478.5645,478.5645,39,8,2,38,36,39,1,0.3340661,1,1,2.1748060000000002
38,1505,515,3,60,1168,241,1099,670,434.5814,434.5814,434.5814,102,8,2,39,39,38,1,0.5842108,3,1,0.909576
39,1131,528,3,60,881,438,928,699,265.4242,265.4242,265.4242,63,8,2,40,41,33,1,0.593919,3,1,1.10635
40,775,676,3,60,933,367,586,385,346.9899,346.9899,346.9899,29,8,2,41,44,40,3,1.106848,3,3,0.6935611999999999
41,281,457,3,60,474,840,709,481,428.6724,428.6724,428.6724,79,8,2,42,35,46,1,0.3593519,1,1,1.603934
42,374,665,3,-60,363,242,735,444,423.2753,423.2753,423.2753,24,8,1,43,43,34,3,1.022938,2,1,0.9797
43,799,289,3,60,637,671,1049,620,414.8024,414.8024,414.8024,103,8,2,44,33,44,1,0.6571482,2,1,2.623908
44,1646,568,3,60,1393,248,1242,627,408.2854,408.2854,408.2854,84,8,1,45,40,43,3,2.405627,3,1,3.394707
45,353,336,3,60,591,835,904,379,552.6753,552.6753,552.6753,23,8,2,46,47,37,1,0.686248,1,1,0.4840026
46,240,289,3,60,484,771,779,319,539.8342,539.8342,539.8342,65,8,1,47,38,45,2,0.3616092,1,1,0.364141
47,1578,608,3,60,1424,248,1189,561,391.829,391.829,391.829,73,8,2,48,45,42,1,4.363398999999999,3,1,0.8557861999999999
48,1038,671,4,-60,791,751,845,497,259.8557,259.8557,259.8557,85,3,2,49,56,51,3,0.3365566,2,2,0.7632688
49,1565,827,4,60,1285,246,922,779,644.7891,644.7891,644.7891,30,3,2,50,59,56,1,0.9501729,3,1,0.666572
50,1342,290,4,-60,1167,748,858,367,490.0867,490.0867,490.0867,106,3,2,51,49,58,1,0.3447913,3,1,2.340636
51,1215,785,4,60,1035,247,659,672,567.3667,567.3667,567.3667,43,3,1,52,51,57,2,0.29668940000000005,3,1,0.7242356
52,1455,339,4,60,1157,727,1642,791,489.1554,489.1554,489.1554,114,3,1,53,60,50,2,1.012302,2,1,0.6641018
53,1354,650,4,-60,1127,304,1540,280,414.1208,414.1208,414.1208,11,3,1,54,54,63,1,0.3430796,2,1,0.6005844
54,459,253,4,-60,710,637,252,662,458.3994,458.3994,458.3994,87,3,1,55,62,61,2,0.42282700000000006,2,1,0.9916925999999999
55,401,347,4,60,663,819,941,356,540.075,540.075,540.075,49,3,2,56,57,64,1,2.511203,1,1,0.9076598
56,1194,404,4,-60,925,549,934,243,305.812,305.812,305.812,98,3,1,57,61,54,2,0.5851611,3,1,0.648125
57,884,285,4,60,740,556,1047,545,306.8697,306.8697,306.8697,7,3,2,58,63,49,3,0.9477053,2,1,0.6785225
58,755,810,4,-60,782,553,991,705,258.3041,258.3041,258.3041,59,3,1,59,64,59,2,0.23351509999999998,1,1,0.8120254
59,787,826,4,-60,922,434,1194,747,414.5962,414.5962,414.5962,16,3,2,60,58,53,1,0.3753765,1,1,0.4555373
60,817,553,4,60,351,282,349,821,539.3033,539.3033,539.3033,115,3,1,61,50,62,2,1.111696,3,1,0.9413458
61,281,609,4,60,648,839,664,406,433.472,433.472,433.472,96,3,1,62,52,52,1,0.2483002,3,2,1.026381
62,1550,797,4,60,1655,245,1125,430,561.5283,561.5283,561.5283,74,3,2,63,53,55,3,0.4031225,2,1,0.8044299
63,1262,336,4,-60,1639,600,1222,794,459.7434,459.7434,459.7434,104,3,2,64,55,60,1,0.3110466,2,1,0.6013708999999999
64,420,461,5,60,534,707,690,485,271.0646,271.0646,271.0646,36,5,1,65,72,66,2,0.45326229999999995,1,1,0.4012113
65,1623,677,5,60,1575,240,1221,500,439.2414,439.2414,439.2414,71,5,2,66,74,71,1,0.47689670000000006,3,1,0.8662786
66,845,811,5,-60,408,538,863,296,515.3145,515.3145,515.3145,58,5,1,67,70,80,2,0.6133603,2,1,0.7215246
67,329,380,5,60,593,754,785,339,457.8395,457.8395,457.8395,27,5,1,68,75,77,2,0.8228338,1,1,2.601969
68,1029,463,5,60,1261,837,1469,449,440.2227,440.2227,440.2227,118,5,1,69,80,65,1,0.4339786,3,2,0.6797879
69,683,298,5,-60,1024,605,588,747,458.9401,458.9401,458.9401,48,5,2,70,71,67,2,0.4580532,2,1,2.302123
70,1413,394,5,-60,1091,764,931,300,491.0804,491.0804,491.0804,66,5,2,71,77,74,1,0.6013066,3,1,0.8982865
71,1460,284,5,60,951,373,1283,769,516.2887,516.2887,516.2887,13,5,2,72,78,78,1,0.3653849,3,1,0.6539773
72,252,804,5,-60,245,512,501,652,291.7276,291.7276,291.7276,55,5,1,73,65,75,2,0.7473257,2,1,0.7310840000000001
73,1578,440,5,-60,1546,839,1217,612,399.8812,399.8812,399.8812,22,5,2,74,68,73,2,0.8232401,3,1,0.7550024999999999
74,1079,719,5,60,1369,683,1193,450,292.1592,292.1592,292.1592,124,5,2,75,66,76,1,0.5613018,1,1,1.396623
75,729,423,5,60,494,758,902,794,409.3531,409.3531,409.3531,56,5,2,76,69,68,2,2.45923,2,1,1.0789819999999999
76,1277,608,5,60,1192,246,921,501,371.7324,371.7324,371.7324,126,5,1,77,73,70,2,1.591437,3,1,1.0462770000000001
77,797,624,5,60,1059,699,993,435,272.2811,272.2811,272.2811,82,5,2,78,76,69,2,0.5948977,1,1,0.8260448
78,1393,268,5,60,988,650,1521,810,556.9093,556.9093,556.9093,9,5,1,79,79,72,2,0.9957007999999999,2,1,0.9564752000000001
79,388,462,5,-60,781,353,679,748,408.0159,408.0159,408.0159,33,5,1,80,67,79,2,1.336927,1,1,2.3297830000000004
80,1609,398,6,60,1137,241,1237,728,497.2766,497.2766,497.2766,44,2,2,81,89,90,1,3.093493,3,1,0.8173335999999999
81,910,468,6,60,1035,700,1173,476,263.1216,263.1216,263.1216,86,2,1,82,81,89,2,1.183859,1,1,0.48779350000000005
82,937,790,6,60,974,528,729,627,264.2593,264.2593,264.2593,122,2,2,83,91,86,2,2.4438299999999997,3,3,1.1667020000000001
83,506,294,6,60,412,780,880,619,495.4806,495.4806,495.4806,101,2,2,84,90,91,1,2.540671,2,1,0.8708288000000001
84,658,443,6,-60,867,801,452,803,414.7722,414.7722,414.7722,2,2,1,85,92,84,2,0.7828503000000001,2,1,0.5099731
85,1153,586,6,60,951,336,835,636,321.9068,321.9068,321.9068,105,2,2,86,83,96,3,0.3427817,3,1,1.394636
86,1444,382,6,-60,1679,602,1371,695,321.4001,321.4001,321.4001,120,2,1,87,88,94,2,0.7338511999999999,2,1,0.7186068
87,1004,577,6,-60,1319,242,1452,682,460.1402,460.1402,460.1402,128,2,1,88,94,95,1,0.7497043000000001,3,2,0.6305691
88,1674,440,6,-60,1473,839,1228,465,446.7001,446.7001,446.7001,97,2,2,89,85,87,1,0.4305214,3,1,1.141234
89,532,551,6,60,848,838,939,421,427.2575,427.2575,427.2575,14,2,1,90,84,85,3,1.07027,2,3,0.7589384
90,1116,246,6,60,1338,756,1669,309,556.577,556.577,556.577,47,2,1,91,87,92,1,1.93567,3,2,0.7933753000000001
91,297,268,6,60,533,837,908,348,616.2151,616.2151,616.2151,50,2,1,92,86,83,2,0.9615309000000001,1,1,0.5748898
92,1254,465,6,60,1425,833,1658,501,405.6008,405.6008,405.6008,113,2,2,93,96,81,2,2.0623720000000003,2,3,0.6277441
93,404,796,6,60,961,777,666,304,557.4119,557.4119,557.4119,3,2,2,94,93,88,-1,5.0,1,1,0.6932927
94,580,677,6,-60,593,242,963,471,434.885,434.885,434.885,78,2,2,95,82,93,1,2.427765,1,1,0.5753493000000001
95,1037,723,6,-60,1048,247,1455,494,476.6183,476.6183,476.6183,28,2,1,96,95,82,2,0.6519786999999999,3,2,0.7661437
96,623,719,7,-60,614,258,1018,481,461.1605,461.1605,461.1605,18,1,2,97,108,105,3,1.8338139999999998,1,3,0.7761736
97,886,834,7,-60,1100,427,1346,816,460.352,460.352,460.352,32,1,1,98,98,112,1,0.41635,3,2,0.6190788
98,1489,687,7,-60,992,811,1133,319,512.0156,512.0156,512.0156,53,1,2,99,103,104,1,2.922377,3,1,0.7700737
99,1082,574,7,60,1553,772,1489,265,511.0088,511.0088,511.0088,69,1,1,100,101,98,1,0.552308,1,1,0.4566911
100,1280,567,7,60,1126,240,920,537,361.2478,361.2478,361.2478,89,1,2,101,106,108,2,0.9667093000000001,3,1,0.6342434
101,317,378,7,60,315,839,715,610,460.6821,460.6821,460.6821,100,1,2,102,99,103,1,0.6358774,2,1,0.8211620999999999
102,1066,500,7,-60,1320,546,1153,743,258.1046,258.1046,258.1046,117,1,1,103,111,100,2,1.6578,1,1,0.8150731
103,1091,527,7,60,1261,332,1007,282,259.0,259.0,259.0,81,1,2,104,107,99,1,1.61325,2,1,0.6679939
104,883,476,7,60,1342,837,1425,259,583.8262,583.8262,583.8262,94,1,1,105,100,110,3,2.062749,3,2,2.907654
105,377,328,7,60,247,833,749,693,521.1612,521.1612,521.1612,60,1,1,106,109,106,2,2.981105,2,1,0.9597325000000001
106,497,375,7,-60,973,330,774,765,478.3607,478.3607,478.3607,42,1,1,107,104,111,2,0.5143365,1,1,1.1796200000000001
107,531,452,7,60,909,747,975,272,479.0992,479.0992,479.0992,112,1,2,108,102,109,1,0.2152239,1,1,1.2224389999999998
108,1231,705,7,60,1083,411,902,686,329.5482,329.5482,329.5482,45,1,1,109,97,107,3,0.3942545,3,1,1.846546
109,766,648,7,-60,1011,427,1080,750,330.1515,330.1515,330.1515,83,1,2,110,110,101,3,0.3387929,3,2,1.315851
110,281,389,7,60,291,839,676,605,450.2011,450.2011,450.2011,19,1,2,111,112,102,3,0.6758662,1,1,0.7088323000000001
111,1285,396,7,60,1183,814,1596,693,430.0349,430.0349,430.0349,12,1,1,112,105,97,2,2.7945290000000003,3,2,1.7456049999999999
112,309,804,8,-60,410,241,847,610,571.9091,571.9091,571.9091,70,7,2,113,121,120,1,2.124943,1,1,0.5105476999999999
113,1494,372,8,-60,1388,683,1172,436,328.2986,328.2986,328.2986,110,7,1,114,124,116,3,1.719039,1,2,0.7233159
114,1201,604,8,60,1417,466,1189,348,256.2811,256.2811,256.2811,88,7,1,115,116,119,2,0.32877259999999997,3,3,0.7914340999999999
115,1576,824,8,-60,1141,698,1468,384,453.0607,453.0607,453.0607,92,7,1,116,122,121,1,0.5323435999999999,2,2,0.5833621999999999
116,1070,309,8,60,1024,635,1329,512,329.0745,329.0745,329.0745,61,7,2,117,115,124,1,0.338654,2,1,0.34610890000000005
117,746,839,8,60,913,425,471,487,446.6867,446.6867,446.6867,125,7,2,118,119,123,1,1.083818,2,1,0.37251999999999996
118,1297,247,8,-60,1401,680,974,554,445.6209,445.6209,445.6209,6,7,1,119,128,127,2,0.41811279999999995,2,1,0.8751521999999999
119,909,482,8,60,538,247,520,686,439.2459,439.2459,439.2459,26,7,1,120,126,115,2,0.6299437,2,3,0.8140821999999999
120,314,555,8,60,664,835,732,392,448.6569,448.6569,448.6569,80,7,1,121,113,126,1,2.4525419999999998,3,2,0.7989616999999999
121,453,413,8,60,676,834,929,430,476.3035,476.3035,476.3035,121,7,2,122,114,113,2,3.197794,3,2,3.840893
122,1009,764,8,60,905,243,506,594,530.951,530.951,530.951,62,7,1,123,118,114,2,2.117114,3,1,0.4506058
123,699,300,8,-60,801,743,367,610,454.229,454.229,454.229,8,7,2,124,120,122,1,1.69255,2,1,0.3562052
124,1656,316,8,60,1373,242,1451,524,292.0428,292.0428,292.0428,4,7,1,125,125,117,3,2.534919,3,1,0.7790939
125,1479,803,8,60,1655,292,1125,395,540.1666,540.1666,540.1666,93,7,2,126,127,125,1,1.9135330000000002,2,1,0.802424
126,879,622,8,60,663,482,650,739,257.1575,257.1575,257.1575,107,7,2,127,117,128,1,0.7847844,3,1,2.782005
127,309,573,8,-60,599,247,736,661,435.9736,435.9736,435.9736,5,7,2,128,123,118,1,2.803009,2,3,0.9696719000000001
