recog order,loc1x,loc1y,block,angle,loc3x,loc3y,loc2x,loc2y,loc1-loc2dist,loc1-loc3dist,loc2-loc3dist,picid,contextid,cond,study order,refresh order,recog order,same/diff,same/diff rt,recog button,recog loc,recog rt
74,228.0,514.0,5,60,710.0,121.0,809.0,735.0,622,622,622,101,8,1,78,78,74,2,65,6,1,76
75,664.0,278.0,5,-60,476.0,958.0,1159.0,782.0,707,707,707,63,8,1,67,73,75,2,54,7,1,37
76,1351.0,546.0,5,-60,1792.0,810.0,1800.0,297.0,514,514,514,1,8,1,76,72,76,1,228,6,1,104
77,1774.0,653.0,5,-60,1645.0,126.0,1253.0,502.0,543,543,543,6,8,1,69,71,77,2,60,8,1,67
78,1797.0,145.0,5,-60,986.0,193.0,1433.0,872.0,814,814,814,49,8,1,68,69,78,2,57,8,1,110
79,127.0,700.0,5,-60,892.0,957.0,732.0,167.0,807,807,807,40,8,1,72,66,79,1,92,7,2,60
80,402.0,237.0,5,-60,152.0,125.0,180.0,398.0,275,275,275,124,8,1,75,80,80,2,82,8,1,247
81,843.0,510.0,6,60,379.0,740.0,411.0,223.0,519,519,519,44,5,1,90,92,81,2,59,8,1,104
82,1413.0,941.0,6,-60,1565.0,121.0,779.0,400.0,834,834,834,85,5,1,87,89,82,2,57,7,1,73
83,801.0,275.0,6,-60,646.0,925.0,1287.0,735.0,670,670,670,80,5,1,82,94,83,1,181,8,2,83
84,1500.0,705.0,6,60,927.0,959.0,993.0,335.0,628,628,628,122,5,2,92,85,84,1,62,8,1,69
85,1272.0,279.0,6,-60,1354.0,680.0,1660.0,409.0,410,410,410,92,5,1,84,91,85,1,78,8,2,93
86,1524.0,515.0,6,-60,924.0,121.0,883.0,838.0,718,718,718,43,5,1,93,86,86,2,65,8,1,68
87,398.0,914.0,6,60,450.0,124.0,1107.0,564.0,791,791,791,114,5,2,95,95,87,1,53,6,1,80
88,1746.0,314.0,6,-60,1032.0,122.0,1223.0,837.0,740,740,740,10,5,2,85,93,88,1,65,8,1,88
89,637.0,498.0,6,-60,292.0,714.0,652.0,906.0,409,409,409,108,5,2,83,87,89,1,66,7,1,74
90,959.0,944.0,6,-60,1003.0,635.0,714.0,752.0,312,312,312,104,5,2,96,84,90,1,71,7,1,60
91,370.0,602.0,6,-60,951.0,936.0,950.0,267.0,670,670,670,15,5,2,91,96,91,1,53,6,1,111
92,1168.0,940.0,6,60,662.0,832.0,1008.0,447.0,519,519,519,60,5,2,94,90,92,2,181,8,1,74
