study order,loc1x,loc1y,block,angle,loc3x,loc3y,loc2x,loc2y,loc1-loc2dist,loc1-loc3dist,loc2-loc3dist,picid,contextid,cond,study order,refresh order,recog order,same/diff,same/diff rt,recog button,recog loc,recog rt
95,1568,691,6,60,1323,243,1058,679,510.1412,510.1412,510.1412,79,3,1,95,96,83,1,0.38641090000000006,1,2,0.4059409
96,503,529,6,-60,843,354,825,736,382.7963,382.7963,382.7963,116,3,1,96,84,90,1,0.44698420000000005,2,2,0.7139850999999999
97,636,623,7,-60,245,731,347,338,405.8891,405.8891,405.8891,43,8,2,97,105,100,1,0.43068720000000005,3,1,0.6298219
98,1641,278,7,60,1309,449,1623,651,373.4341,373.4341,373.4341,39,8,2,98,104,110,3,1.676722,1,3,0.67033
99,1070,601,7,60,845,244,648,617,422.3032,422.3032,422.3032,40,8,1,99,97,111,2,0.8602964,1,2,0.3849551
100,410,646,7,-60,676,245,890,676,480.9366,480.9366,480.9366,126,8,2,100,112,99,1,0.3862973,1,1,0.6756048000000001
101,1081,710,7,-60,758,617,1000,384,335.9122,335.9122,335.9122,3,8,2,101,106,103,1,0.48272539999999997,3,1,0.5430222
102,1287,731,7,60,1545,805,1480,544,268.7341,268.7341,268.7341,105,8,1,102,98,107,2,0.3998125,1,1,0.4624403
103,623,778,7,60,796,324,317,401,485.5564,485.5564,485.5564,12,8,2,103,101,112,1,0.3099466,2,1,0.46278909999999995
104,1486,584,7,-60,1326,289,1661,298,335.2924,335.2924,335.2924,92,8,1,104,102,104,2,0.33946950000000004,2,1,0.4474298
105,914,485,7,60,560,241,526,670,429.8476,429.8476,429.8476,108,8,1,105,99,98,2,0.44419780000000003,1,2,0.47230079999999997
106,1508,806,7,60,1653,244,1094,400,579.8552,579.8552,579.8552,62,8,1,106,109,97,1,0.5070203,1,2,0.460733
107,1582,344,7,-60,1680,733,1294,623,400.98,400.98,400.98,123,8,1,107,108,102,1,0.4062082,1,2,0.4515764
108,806,344,7,-60,584,672,411,316,395.9912,395.9912,395.9912,20,8,2,108,103,108,2,0.5668229,1,2,0.8583274
109,276,524,7,-60,724,361,641,830,476.2993,476.2993,476.2993,57,8,1,109,110,109,2,0.4361544,2,2,0.7171929
110,680,684,7,-60,619,293,988,436,395.4339,395.4339,395.4339,93,8,1,110,111,106,1,0.6473654999999999,3,2,0.6847982
111,350,411,7,-60,911,242,777,812,585.773,585.773,585.773,28,8,2,111,100,101,2,0.5757124,2,2,0.5391604999999999
112,1041,588,7,60,1060,319,817,437,270.1426,270.1426,270.1426,84,8,2,112,107,105,3,0.4675982,2,1,2.298353
113,1396,434,8,-60,1382,840,1038,625,405.7647,405.7647,405.7647,107,2,1,113,126,126,1,0.5008676999999999,1,2,0.7147405
114,485,294,8,-60,694,630,298,643,395.9419,395.9419,395.9419,22,2,1,114,120,123,2,0.3032789,2,1,0.4484689
115,1378,370,8,60,1130,801,1627,800,496.8913,496.8913,496.8913,5,2,2,115,121,117,1,0.2888788,1,3,0.4140816
