loc1x	loc1y	block	angle	loc3x	loc3y	loc2x	loc2y	loc1-loc2dist	loc1-loc3dist	loc2-loc3dist	picid	contextid	cond	study order	refresh order	recog order	same/diff	same/diff rt	recog button	recog loc	recog rt
362	328	2	60	558	-93	95	-52	465	465	465	49	8	1	27	17	26	2	73	7	1	65
575	-379	2	60	-167	-339	238	284	744	744	744	58	8	2	28	23	27	1	65	8	1	31
-154	-404	2	60	-17	-48	222	-344	381	381	381	87	8	2	19	25	28	1	40	6	1	36
-448	81	2	-60	-852	306	-845	-157	463	463	463	105	8	2	24	27	29	1	55	8	1	25
131	352	2	60	455	248	202	20	340	340	340	92	8	2	23	22	30	1	39	6	1	24
812	-266	2	-60	400	418	14	-282	799	799	799	103	8	2	29	29	31	1	68	8	1	28
-584	337	2	60	-352	88	-684	12	341	341	341	41	8	1	30	26	32	3	188	6	2	46
-246	148	3	60	206	-30	-175	-332	486	486	486	116	5	1	37	39	33	2	49	6	1	160
-518	-54	3	-60	-95	-395	-11	141	544	544	544	69	5	2	35	46	34	1	44	6	1	27
-856	356	3	-60	-446	-411	14	327	871	871	871	104	5	1	39	33	35	2	59	6	1	27
221	-44	3	60	13	-258	-69	29	300	300	300	96	5	2	44	40	36	1	55	8	1	34
-585	180	3	60	62	273	-182	-334	654	654	654	63	5	2	47	42	37	1	51	6	1	23
-773	71	3	60	-135	215	-330	-409	654	654	654	67	5	1	42	45	38	2	55	8	3	131
-311	213	3	-60	-406	-203	2	-78	428	428	428	15	5	2	38	43	39	1	36	7	1	61
506	-6	3	-60	42	128	158	-342	484	484	484	50	5	2	34	35	40	1	35	8	1	24
761	-296	3	60	302	-418	425	41	476	476	476	18	5	2	40	47	41	1	54	8	1	33
268	312	3	60	734	-331	-56	-413	795	795	795	33	5	1	43	34	42	2	64	7	1	23
-625	-164	3	60	-555	-416	-809	-351	263	263	263	90	5	1	46	37	43	1	231	6	2	25
851	102	3	60	853	-325	481	-113	428	428	428	117	5	1	36	38	44	2	52	8	3	64
-175	145	3	60	115	102	-68	-128	294	294	294	38	5	1	45	44	45	2	57	8	3	81
4	99	3	60	-176	-412	-529	0	543	543	543	13	5	1	33	36	46	2	57	8	1	45
-84	-255	3	60	-149	32	131	-55	294	294	294	11	5	2	41	48	47	1	70	7	1	26
701	-292	3	60	-87	-387	224	343	795	795	795	27	5	2	48	41	48	1	47	8	1	23
-162	-4	4	-60	-369	-226	-73	-295	305	305	305	40	6	1	63	52	49	2	65	7	1	29
860	-235	4	-60	727	223	397	-122	477	477	477	44	6	1	54	56	50	2	63	8	1	38
-665	-191	4	60	-111	327	60	-412	758	758	758	99	6	2	50	59	51	1	123	6	1	26
-262	-150	4	60	-8	415	354	-87	620	620	620	25	6	1	62	55	52	2	81	6	1	49
-485	-119	4	-60	-143	302	-678	387	542	542	542	108	6	2	52	60	53	1	47	7	1	25
15	156	4	60	231	28	11	-95	252	252	252	55	6	2	60	54	54	1	71	7	1	68
-3	-399	4	60	-150	-132	154	-138	305	305	305	32	6	2	53	63	55	2	88	8	2	29
555	361	4	-60	-137	109	427	-365	738	738	738	43	6	2	57	57	56	1	47	8	1	28
-446	-408	4	60	-316	118	74	-257	542	542	542	35	6	1	58	64	57	2	54	6	1	29
-266	-307	4	-60	-409	-98	-518	-327	253	253	253	54	6	1	51	61	58	2	46	8	1	23
-839	227	4	60	-251	414	-384	-189	617	617	617	62	6	2	56	50	59	1	45	6	1	22
143	223	4	-60	-592	297	-288	-377	739	739	739	4	6	1	59	58	60	1	43	7	2	24
