loc1x	loc1y	block	angle	loc3x	loc3y	loc2x	loc2y	loc1-loc2dist	loc1-loc3dist	loc2-loc3dist	picid	contextid	cond	study order	refresh order	recog order	same/diff	same/diff rt	recog button	recog loc	recog rt
107	286	4	60	-150	-419	-633	156	752	752	752	27	8	1	57	53	56	2	54	8	1	28
770	330	4	-60	64	118	601	-388	738	738	738	22	8	1	50	60	57	2	25	8	1	26
660	11	4	60	267	-414	95	139	580	580	580	126	8	2	64	57	58	1	50	8	1	24
767	-100	4	60	227	-412	226	212	625	625	625	125	8	2	58	51	59	1	63	8	1	32
-481	-233	4	60	-400	305	25	-34	544	544	544	45	8	1	55	50	60	2	44	6	1	25
355	-232	4	60	67	229	610	248	544	544	544	40	8	2	59	59	61	1	36	7	1	23
-120	-143	4	-60	562	-414	456	311	734	734	734	65	8	1	62	64	62	2	31	6	1	26
-64	63	4	-60	56	320	-226	295	283	283	283	93	8	2	56	63	63	1	48	7	1	17
-174	-399	4	-60	-191	-116	-428	-273	284	284	284	80	8	1	49	58	64	2	35	8	1	46
-533	69	5	-60	-91	-372	70	231	625	625	625	1	2	2	77	76	65	3	75	6	1	41
-465	-333	5	-60	-261	81	-721	50	461	461	461	91	2	1	72	73	66	2	57	7	1	19
-673	-203	5	60	-381	416	8	-146	684	684	684	68	2	2	78	75	67	1	50	6	1	29
306	-261	5	-60	86	281	-273	-181	585	585	585	128	2	1	66	70	68	3	67	8	1	20
-154	314	5	-60	-461	-17	-21	-118	453	453	453	76	2	2	79	80	69	1	54	7	1	30
496	96	5	60	-14	-416	-203	282	724	724	724	95	2	1	69	78	70	3	88	8	1	134
323	-306	5	60	252	275	790	46	585	585	585	36	2	2	71	68	71	1	37	7	1	46
-461	411	5	60	132	-3	-524	-309	723	723	723	63	2	2	67	77	72	1	73	7	1	54
20	-286	5	-60	27	30	-250	-123	316	316	316	86	2	2	70	66	73	1	65	7	1	41
-407	362	5	60	398	246	-106	-393	813	813	813	42	2	1	73	69	74	2	47	7	2	33
-835	368	5	-60	-753	-112	-378	198	488	488	488	26	2	2	65	67	75	3	73	6	1	67
-516	415	5	-60	-366	137	-200	405	317	317	317	111	2	1	68	65	76	3	104	8	2	64
-708	-377	5	60	-730	75	-328	-132	453	453	453	123	2	1	74	74	77	2	55	7	1	47
153	-320	5	60	-295	-216	19	120	460	460	460	49	2	2	75	71	78	1	51	8	1	32
-121	-2	5	-60	334	-416	465	184	615	615	615	61	2	1	80	72	79	3	73	7	3	25
613	332	5	60	812	-417	63	-215	776	776	776	33	2	1	76	79	80	3	107	7	1	32
239	-385	6	-60	650	-41	147	142	535	535	535	62	6	2	96	89	81	3	65	7	1	24
-155	-117	6	-60	-182	356	-578	96	474	474	474	51	6	1	94	81	82	2	73	8	1	27
813	377	6	-60	229	94	766	-271	650	650	650	81	6	2	88	86	83	1	83	8	1	27
-682	394	6	-60	-543	-413	87	110	820	820	820	14	6	1	90	88	84	2	44	8	2	38
-36	-187	6	60	-276	9	13	119	310	310	310	118	6	2	93	95	85	3	103	7	1	23
250	-146	6	60	392	268	679	-62	438	438	438	64	6	2	81	83	86	1	52	6	1	22
122	-378	6	60	-92	113	439	53	536	536	536	50	6	1	95	85	87	2	59	7	1	21
769	-214	6	-60	757	224	384	-6	438	438	438	112	6	1	82	93	88	2	31	8	1	45
671	209	6	-60	-138	367	130	-413	825	825	825	73	6	2	85	90	89	1	45	8	1	22
410	-388	6	-60	273	321	-273	-153	723	723	723	15	6	1	84	84	90	2	51	8	1	44
478	363	6	60	629	-342	-58	-120	722	722	722	71	6	2	89	94	91	3	75	7	1	20
423	-379	6	60	-234	-355	115	202	658	658	658	5	6	2	83	96	92	1	36	8	1	23
-456	181	6	-60	-290	-417	145	25	621	621	621	89	6	1	91	91	93	2	64	8	2	31
325	-399	6	60	-314	-240	142	234	659	659	659	58	6	1	86	82	94	2	70	8	1	24
335	92	6	60	277	-376	-100	-92	473	473	473	114	6	2	92	92	95	1	43	8	1	35
582	213	6	-60	302	84	554	-95	310	310	310	69	6	1	87	87	96	2	76	8	1	39
192	220	7	-60	397	-107	578	233	387	387	387	30	4	1	105	100	97	2	65	8	2	19
-796	-259	7	-60	-191	-419	-355	184	626	626	626	12	4	2	103	105	98	1	95	6	1	38
-65	-31	7	-60	-157	226	-333	17	273	273	273	104	4	2	106	97	99	3	71	8	1	22
-64	119	7	60	-536	-194	-572	371	568	568	568	109	4	1	100	111	100	2	91	7	3	23
226	-245	7	60	-216	-100	130	210	466	466	466	78	4	2	102	101	101	3	65	8	1	35
8	-348	7	60	-260	-395	-168	-139	274	274	274	101	4	1	111	110	102	3	95	8	1	31
-393	-2	7	-60	235	-415	279	335	752	752	752	105	4	1	98	108	103	2	60	6	1	24
301	-411	7	-60	688	361	-174	309	863	863	863	100	4	1	97	112	104	2	53	7	1	20
181	-161	7	-60	57	204	-197	-87	386	386	386	31	4	2	109	106	105	3	70	8	1	44
481	291	7	-60	19	-205	680	-358	679	679	679	3	4	2	110	104	106	1	58	7	1	21
418	46	7	60	-43	-14	135	415	466	466	466	41	4	1	101	99	107	2	77	8	1	32
-659	363	7	-60	-312	-416	189	273	853	853	853	35	4	2	104	98	108	1	61	6	1	24
-271	150	7	-60	65	-385	361	173	633	633	633	6	4	1	112	107	109	2	44	6	1	23
-410	379	7	60	-94	-168	-726	-168	632	632	632	99	4	2	99	103	110	1	58	7	1	21
-258	212	7	-60	-373	-418	230	-203	641	641	641	75	4	1	107	109	111	2	56	7	1	40
338	276	7	60	-41	-144	-216	394	567	567	567	11	4	2	108	102	112	3	54	8	1	25
181	-61	8	-60	-54	229	-187	-120	373	373	373	85	3	1	123	119	113	2	95	8	1	21
-133	53	8	-60	-417	180	-385	-130	312	312	312	17	3	2	125	126	114	2	44	7	2	22
113	16	8	-60	-37	290	-199	22	313	313	313	16	3	1	126	122	115	3	76	6	2	18
-290	94	8	-60	132	-93	83	365	462	462	462	37	3	2	128	113	116	1	66	6	1	22
480	-287	8	-60	234	325	-173	-195	660	660	660	124	3	2	120	118	117	2	85	6	2	92
171	-163	8	60	363	157	543	-169	373	373	373	116	3	2	124	125	118	1	48	6	1	18
-340	339	8	60	-265	-273	-833	-32	618	618	618	59	3	2	115	115	119	1	104	7	1	24
-647	-374	8	60	-849	255	-204	116	661	661	661	20	3	1	117	121	120	2	66	7	1	21
-526	344	8	60	43	102	-452	-270	619	619	619	23	3	1	119	128	121	2	50	6	1	53
825	107	8	60	433	-419	173	184	657	657	657	28	3	2	114	127	122	1	46	8	1	21
-639	-135	8	-60	-95	-411	-128	197	610	610	610	121	3	1	121	117	123	2	45	6	1	21
-764	-105	8	60	-650	418	-255	58	535	535	535	56	3	2	113	116	124	1	86	6	1	19
392	153	8	-60	254	-365	772	-226	537	537	537	98	3	2	116	124	125	1	38	7	1	27
467	351	8	-60	25	224	356	-96	461	461	461	96	3	1	127	120	126	3	63	7	2	25
-123	181	8	-60	169	-271	414	207	538	538	538	97	3	1	122	114	127	2	38	6	1	17
-588	-267	8	-60	259	-386	-61	406	855	855	855	117	3	1	118	123	128	2	41	8	3	22
