,block,cond,duration,end,endloc,event,loc1end,loc1start,loc1x,loc1y,loc2end,loc2start,loc2x,loc2y,loc3end,loc3start,loc3x,loc3y,objonset,recog loc,same/diff,start,startloc,sub,trialend,trialnum,xend,xstart,yend,ystart
51,1,1.0,402,2324.0,,EFIX,,339.13162636357,1374.0,438.0,,38.01394480976693,1443.0,773.0,,308.03288785452753,1699.0,545.0,2030.0,1.0,2.0,1924.0,loc2start,ec107,8233.0,3,,1478.9,,760.5
52,1,1.0,38,2362.0,loc1end,ESACC,98.32644608649288,323.6770767292611,1374.0,438.0,244.9348688937531,30.4868824250693,1443.0,773.0,292.84448091094356,312.73990791071105,1699.0,545.0,2030.0,1.0,2.0,2326.0,loc2start,ec107,8233.0,3,1406.5,1462.3,530.8,749.4
53,1,1.0,158,2520.0,,EFIX,,92.65959205608455,1374.0,438.0,,250.42404037951306,1443.0,773.0,,295.4376414744742,1699.0,545.0,2030.0,1.0,2.0,2364.0,loc1start,ec107,8233.0,3,,1404.2,,525.6
54,1,1.0,24,2544.0,loc1end,ESACC,18.33575741549835,86.54663482770431,1374.0,438.0,347.2074307960588,256.6731774066001,1443.0,773.0,329.40097146183393,296.7064542607726,1699.0,545.0,2030.0,1.0,2.0,2522.0,loc1start,ec107,8233.0,3,1390.4,1403.4,429.8,519.4
55,1,1.0,232,2776.0,,EFIX,,15.400000000000091,1374.0,438.0,,339.26090255141395,1443.0,773.0,,327.56855770967996,1699.0,545.0,2030.0,1.0,2.0,2546.0,loc1start,ec107,8233.0,3,,1389.4,,438.0
56,1,1.0,58,2834.0,loc2end,ESACC,261.9076554818511,16.414932226482172,1374.0,438.0,86.72035516532435,339.795894619108,1443.0,773.0,282.4486147956827,326.8535604823664,1699.0,545.0,2030.0,1.0,2.0,2778.0,loc1start,ec107,8233.0,3,1454.9,1390.4,687.1,437.3
57,1,1.0,278,3112.0,,EFIX,,304.54963470672556,1374.0,438.0,,42.695198793307014,1443.0,773.0,,307.9306415412405,1699.0,545.0,2030.0,1.0,2.0,2836.0,loc2start,ec107,8233.0,3,,1454.2,,731.8
58,1,1.0,16,3128.0,loc2end,ESACC,348.0692459841863,308.9266094074772,1374.0,438.0,36.95673145720542,39.24601890638082,1443.0,773.0,313.83721895275585,309.1747887522526,1699.0,545.0,2030.0,1.0,2.0,3114.0,loc2start,ec107,8233.0,3,1479.8,1455.8,769.6,735.9
59,1,1.0,1100,4228.0,,EFIX,,342.8939486196862,1374.0,438.0,,26.47753764986474,1443.0,773.0,,320.0816458343089,1699.0,545.0,2030.0,1.0,2.0,3130.0,loc2start,ec107,8233.0,3,,1468.9,,767.5
60,1,1.0,36,4264.0,screen,ESACC,191.19633887708204,334.3077175298231,1374.0,438.0,209.55772474428136,19.52050204272426,1443.0,773.0,401.13344413050373,323.3775657030029,1699.0,545.0,2030.0,1.0,2.0,4230.0,loc2start,ec107,8233.0,3,1304.2,1458.7,616.0,761.4
61,1,1.0,492,4756.0,,EFIX,,190.83982812819764,1374.0,438.0,,232.54642547242042,1443.0,773.0,,421.3229640074227,1699.0,545.0,2030.0,1.0,2.0,4266.0,screen,ec107,8233.0,3,,1282.0,,605.2
62,1,1.0,22,4778.0,screen,ESACC,235.67759757770781,187.64908739453017,1374.0,438.0,319.420303049133,246.117411005398,1443.0,773.0,513.114149093552,429.70150104462056,1699.0,545.0,2030.0,1.0,2.0,4758.0,screen,ec107,8233.0,3,1187.2,1272.3,581.7,595.7
63,1,1.0,284,5062.0,,EFIX,,260.6892594642134,1374.0,438.0,,358.36837193033654,1443.0,773.0,,551.0142375656005,1699.0,545.0,2030.0,1.0,2.0,4780.0,screen,ec107,8233.0,3,,1148.5,,568.8
64,1,1.0,16,46.0,screen,ESACC,467.02593075759717,419.6861803776722,1533.0,790.0,695.0415958775417,646.9489083382088,1787.0,759.0,519.8492281421603,474.8345922529234,1634.0,554.0,2032.0,1.0,2.0,32.0,screen,ec107,8336.0,4,1114.9,1161.0,581.9,595.7
65,1,1.0,210,256.0,,EFIX,,475.50983165440437,1533.0,790.0,,702.0525621347734,1787.0,759.0,,524.1230771488696,1634.0,554.0,2032.0,1.0,2.0,48.0,screen,ec107,8336.0,4,,1110.2,,572.4
66,1,1.0,52,308.0,loc2end,ESACC,168.2663662173758,474.1036384589344,1533.0,790.0,97.33226597588275,701.1027456799752,1787.0,759.0,191.23537852604582,523.9170354168683,1634.0,554.0,2032.0,1.0,2.0,258.0,screen,ec107,8336.0,4,1692.4,1110.5,736.1,574.9
67,1,1.0,164,472.0,,EFIX,,197.59296546183018,1533.0,790.0,,62.60175716383683,1787.0,759.0,,213.0450187167022,1634.0,554.0,2032.0,1.0,2.0,310.0,loc2start,ec107,8336.0,4,,1725.7,,746.3
68,1,1.0,16,488.0,loc2end,ESACC,253.7554925513929,202.75672615230297,1533.0,790.0,20.11094229517848,54.312889814481466,1787.0,759.0,237.19749155503314,224.41855983853026,1634.0,554.0,2032.0,1.0,2.0,474.0,loc2start,ec107,8336.0,4,1781.7,1732.8,739.6,755.5
69,1,1.0,496,984.0,,EFIX,,246.38532829695842,1533.0,790.0,,22.68766184515274,1787.0,759.0,,233.1405799083463,1634.0,554.0,2032.0,1.0,2.0,490.0,loc2start,ec107,8336.0,4,,1774.3,,740.2
71,1,1.0,214,1198.0,loc2end,ESACC,158.01395507992325,238.71985673588202,1533.0,790.0,100.25572302866306,37.54690400019684,1787.0,759.0,240.745114176799,218.26399153318903,1634.0,554.0,2032.0,1.0,2.0,986.0,loc2start,ec107,8336.0,4,1691.0,1763.9,787.9,729.4
72,1,1.0,120,1318.0,,EFIX,,176.4399331217284,1533.0,790.0,,105.68751108811298,1787.0,759.0,,169.27389048521334,1634.0,554.0,2032.0,1.0,2.0,1200.0,loc2start,ec107,8336.0,4,,1691.8,,713.1
73,1,1.0,30,1348.0,loc1end,ESACC,109.88707840324085,169.2663286067256,1533.0,790.0,292.40856690596456,114.81502514915019,1787.0,759.0,183.49433233754107,164.37971286019453,1634.0,554.0,2032.0,1.0,2.0,1320.0,loc2start,ec107,8336.0,4,1504.4,1682.7,683.9,711.0
74,1,1.0,296,1644.0,,EFIX,,106.36319852279729,1533.0,790.0,,290.31866974068333,1787.0,759.0,,184.94088244625632,1634.0,554.0,2032.0,1.0,2.0,1350.0,loc1start,ec107,8336.0,4,,1505.7,,687.2
75,1,1.0,34,1678.0,loc2end,ESACC,229.93810036616378,104.30019175437786,1533.0,790.0,34.28308620879975,285.6143028631445,1787.0,759.0,224.3780960789177,182.51391727756,1634.0,554.0,2032.0,1.0,2.0,1646.0,loc1start,ec107,8336.0,4,1757.7,1510.3,741.2,688.2
76,1,1.0,484,2162.0,,EFIX,,220.02638478146207,1533.0,790.0,,40.76530387474132,1787.0,759.0,,223.2057570942112,1634.0,554.0,2032.0,1.0,2.0,1680.0,loc2start,ec107,8336.0,4,,1748.5,,745.6
77,1,1.0,48,2210.0,screen,ESACC,210.54303598077036,215.86535155045138,1533.0,790.0,438.3028291033494,43.98465641561849,1787.0,759.0,302.20650224639434,222.70440049536506,1634.0,554.0,2032.0,1.0,2.0,2164.0,loc2start,ec107,8336.0,4,1356.9,1744.6,674.6,747.3
