-488	-167	-105	317	617	0	0	4	-60	123	-256	-105	317	618	618	618	8	2	1	58	56	54	2	57	
262	-240	59	217	500	1301	1	4	60	-235	-187	59	217	501	501	501	38	2	2	53	57	61	1	89	
158	313	101	-47	365	1254	1	4	-60	-182	183	101	-47	365	365	365	118	2	2	52	58	53	2	59	
-310	-269	375	-187	689	0	0	4	60	-38	366	375	-187	690	690	690	12	2	1	49	59	62	2	41	
704	361	735	-208	569	0	0	4	-60	227	50	735	-208	570	570	570	7	2	1	57	60	52	2	41	
370	410	731	356	365	0	0	4	-60	504	71	731	356	366	366	366	90	2	1	54	61	64	2	71	
-243	-24	-11	72	251	0	0	4	-60	-43	-176	-11	72	252	252	252	23	2	1	56	62	49	1	72	
727	349	256	179	500	0	0	4	60	639	-143	256	179	501	501	501	71	2	1	55	63	57	2	65	
64	219	303	142	251	1123	1	4	60	251	388	303	142	252	252	252	68	2	2	60	64	56	2	66	
-367	-372	-287	194	571	1460	1	5	60	-817	-19	-287	194	572	572	572	45	8	2	74	65	67	1	55	
-833	-160	-188	373	836	0	0	5	-60	-68	-417	-228	373	807	807	807	40	8	1	72	66	79	1	92	
-237	-191	-230	176	367	1255	1	5	-60	85	-13	-230	176	368	368	368	81	8	2	65	67	70	1	50	
365	91	-33	-231	513	1327	1	5	-60	-112	275	-33	-231	512	512	512	22	8	2	73	68	68	2	66	
837	395	584	128	367	0	0	5	-60	26	347	473	-332	814	814	814	49	8	1	68	69	78	2	57	
-427	-291	284	-314	711	0	0	5	60	-51	314	284	-314	712	712	712	111	8	1	80	70	72	2	75	
814	-113	263	38	571	0	0	5	-60	685	414	293	38	543	543	543	6	8	1	69	71	77	2	60	
391	-6	840	243	513	0	0	5	-60	832	-270	840	243	514	514	514	1	8	1	76	72	76	1	228	
-296	262	369	-332	891	0	0	5	-60	-484	-418	199	-242	707	707	707	63	8	1	67	73	75	2	54	
-577	-362	199	-48	836	1635	1	5	60	-490	416	139	-48	782	782	782	106	8	2	66	74	73	2	75	
776	-156	21	317	891	1734	1	5	60	79	-417	201	317	745	745	745	26	8	2	71	75	65	1	70	
583	25	0	310	649	1510	1	5	60	45	-337	0	310	649	649	649	48	8	2	79	76	69	3	86	
629	58	14	414	711	1563	1	5	60	14	-296	14	414	711	711	711	2	8	2	70	77	66	1	53	
-732	26	-121	-195	649	0	0	5	60	-250	419	-151	-195	622	622	622	101	8	1	78	78	74	2	65	
169	-102	62	-354	274	1153	1	5	-60	-102	-135	62	-354	274	274	274	29	8	2	77	79	71	1	52	
-558	303	-780	142	274	0	0	5	-60	-808	415	-780	142	275	275	275	124	8	1	75	80	80	2	82	
-196	374	-178	-133	508	1321	1	6	-60	-626	105	-178	-133	508	508	508	34	5	2	81	81	96	1	64	
-549	-31	-301	-220	311	0	0	6	60	-261	90	-301	-220	312	312	312	117	5	1	88	82	93	2	53	
-372	-48	98	146	508	0	0	6	-60	32	-358	98	146	509	509	509	120	5	1	89	83	94	2	81	
-1	-404	-246	-212	311	1191	1	6	-60	43	-95	-246	-212	312	312	312	104	5	2	96	84	90	1	71	
540	-165	-7	205	660	1517	1	6	60	-33	-419	33	205	628	628	628	122	5	2	92	85	84	1	62	
564	25	-197	-298	826	0	0	6	-60	-36	419	-77	-298	718	718	718	43	5	1	93	86	86	2	65	
-323	42	-308	-366	409	1270	1	6	-60	-668	-174	-308	-366	409	409	409	108	5	2	83	87	89	1	66	
667	-79	22	63	660	0	0	6	-60	548	413	182	63	506	506	506	113	5	1	86	88	95	2	68	
453	-401	-291	140	919	0	0	6	-60	605	419	-181	140	834	834	834	85	5	1	87	89	82	2	57	
208	-400	48	93	518	1346	1	6	60	-298	-292	48	93	519	519	519	60	5	2	94	90	92	2	181	
312	261	700	131	409	0	0	6	-60	394	-140	700	131	410	410	410	92	5	1	84	91	85	1	78	
-117	30	-549	317	518	0	0	6	60	-581	-200	-549	317	519	519	519	44	5	1	90	92	81	2	59	
